"state","year","month","total_incidents","total_injured","total_deaths","avg_age"
"california",1992,1,"1","10","4","20"
"texas",2018,5,"1","13","10","17"
"california",2009,12,"1","0","5","54"
"california",2017,4,"1","0","3","39"
"florida",1990,6,"1","4","10","42"
"california",2006,1,"1","0","8","44"
"texas",2009,5,"1","31","13","39"
"california",2014,2,"1","2","4","44"
"california",2014,5,"1","13","6","22"
"texas",1984,6,"1","1","6","39"
"texas",2011,5,"1","20","26","26"
"california",2003,9,"1","0","3","36"
"texas",2008,3,"1","26","22","21"
"florida",1982,8,"1","3","8","51"
"california",1988,2,"1","4","7","39"
"florida",1987,4,"1","14","6","59"
"california",1984,7,"1","19","22","41"
"california",2021,3,"1","1","4","44"
"california",2015,2,"1","21","14","28"
"texas",2019,8,"1","25","7","36"
"florida",2017,5,"1","0","5","45"
"texas",2022,5,"1","17","21","18"
"california",1993,1,"1","6","9","55"
"california",2012,2,"1","3","7","43"
"florida",2016,12,"1","53","49","29"
"texas",2016,7,"1","11","5","25"
"california",2017,11,"1","10","5","44"
"florida",1999,12,"1","3","5","36"
"california",2011,12,"1","1","8","42"
"california",2019,7,"1","12","3","19"
"california",2023,1,"2","11","18","69.5"
"california",2017,6,"1","2","3","38"
"florida",2018,2,"1","17","17","19"
"florida",2012,6,"1","8","3","21"
"florida",2019,1,"1","0","5","21"
"florida",1996,9,"1","1","6","41"
"texas",1991,10,"1","20","24","35"
"california",1997,12,"1","2","5","41"
"texas",2014,3,"1","12","3","34"
"florida",2013,7,"1","0","7","42"
"california",2011,7,"1","22","12","28"
"florida",2017,6,"1","6","5","26"
"california",1989,1,"1","29","6","26"
"texas",1999,9,"1","7","8","47"
"california",2021,5,"1","0","9","57"
"texas",1995,3,"1","0","6","28"
"california",2013,7,"1","3","6","23"
