"year","total_casualties","previous_year_casualties"
1982,"11",NULL
1984,"48","11"
1986,"21","48"
1987,"20","21"
1988,"11","20"
1989,"56","11"
1990,"14","56"
1991,"61","14"
1992,"19","61"
1993,"57","19"
1994,"28","57"
1995,"6","28"
1996,"7","6"
1997,"14","7"
1998,"50","14"
1999,"89","50"
2000,"7","89"
2001,"9","7"
2003,"18","9"
2004,"12","18"
2005,"26","12"
2006,"49","26"
2007,"138","49"
2008,"125","138"
2009,"88","125"
2010,"615","88"
2011,"123","615"
2012,"169","123"
2013,"48","169"
2014,"46","48"
2015,"89","46"
2016,"154","89"
2017,"48","154"
2018,"103","48"
2019,"83","103"
2020,"9","83"
2021,"59","9"
2022,"113","59"
2023,"44","113"
