case_key,participant_date,date_key,location_key,num_injured,num_deaths,gun_key
1,1,1,1,1,6,1
2,2,2,2,5,3,2
3,3,3,3,1,7,3
4,4,4,4,10,11,4
5,5,5,5,6,6,5
6,6,6,6,25,5,6
7,7,7,7,2,3,7
8,8,8,8,2,5,8
9,9,9,9,2,3,9
10,10,10,10,46,7,10
11,11,11,11,0,3,11
12,12,12,12,1,3,12
13,13,13,13,10,4,13
14,14,14,14,17,21,14
15,15,15,15,3,10,15
16,16,16,16,7,4,16
17,17,17,17,0,9,17
18,18,18,18,7,8,18
19,19,19,19,1,4,19
20,20,20,20,0,10,20
21,21,21,21,1,8,21
22,22,22,22,0,4,22
23,23,23,23,0,5,23
24,24,24,24,3,4,24
25,25,25,25,8,3,24
26,26,26,26,25,7,25
27,27,27,27,27,9,26
28,28,28,28,26,22,27
29,29,29,29,12,3,28
30,30,30,30,4,12,29
31,31,31,31,6,5,30
32,32,32,32,1,3,31
33,33,33,33,0,5,32
34,34,34,34,0,3,33
35,35,35,35,22,12,34
36,36,36,36,6,11,35
37,37,37,37,3,3,36
38,38,38,38,0,5,37
39,39,39,39,2,3,38
40,40,40,40,2,5,39
41,41,41,41,13,10,40
42,42,42,42,4,4,41
43,43,43,43,0,3,42
44,44,44,44,17,17,43
45,45,45,45,1,4,44
46,46,46,46,10,5,45
47,47,47,47,20,26,46
48,48,48,48,0,3,47
49,49,49,49,3,3,48
50,50,50,50,546,58,49
51,51,51,51,2,3,50
52,52,52,52,0,3,51
53,53,53,53,0,5,52
54,54,54,54,0,3,53
55,55,55,55,0,3,54
56,56,56,56,6,5,55
57,57,57,57,0,5,56
58,58,58,58,3,3,57
59,59,59,59,11,5,58
60,60,60,60,53,49,59
61,61,61,61,14,3,60
62,62,62,62,2,6,61
63,63,63,63,21,14,61
64,64,64,64,9,3,62
65,65,65,65,0,3,62
66,66,66,66,9,9,63
67,67,67,67,2,5,64
68,68,68,68,1,9,65
69,69,69,69,1,3,66
70,70,70,70,1,5,67
71,71,71,71,13,6,68
72,72,72,72,12,3,69
73,73,73,73,2,4,70
74,74,74,74,8,12,71
75,75,75,75,0,7,72
76,76,76,76,3,6,73
77,77,77,77,0,5,74
78,78,78,78,2,5,75
79,79,79,79,2,27,76
80,80,80,80,1,7,77
81,81,81,81,3,7,78
82,82,82,82,70,12,79
83,83,83,83,1,6,80
84,84,84,84,3,7,81
85,85,85,85,0,5,82
86,86,86,86,1,8,83
87,87,87,87,7,5,84
88,88,88,88,13,6,85
89,89,89,89,2,9,86
90,90,90,90,1,4,87
91,91,91,91,31,13,88
92,92,92,92,4,14,89
93,93,93,93,3,8,90
94,94,94,94,1,6,91
95,95,95,95,21,5,92
96,96,96,96,2,6,93
97,97,97,97,4,9,94
98,98,98,98,1,6,95
99,99,99,99,23,32,96
100,100,100,100,4,6,97
101,101,101,101,5,6,98
102,102,102,102,2,7,99
103,103,103,103,0,8,100
104,104,104,104,5,10,101
105,105,105,105,4,7,102
106,106,106,106,7,5,103
107,107,107,107,8,7,104
108,108,108,108,4,5,105
109,109,109,109,0,7,106
110,110,110,110,3,5,107
111,111,111,111,0,7,108
112,112,112,112,7,8,108
113,113,113,113,13,9,108
114,114,114,114,24,13,108
115,115,115,115,25,4,108
116,116,116,116,10,5,108
117,117,117,117,1,5,108
118,118,118,118,2,5,108
119,119,119,119,3,4,108
120,120,120,120,1,6,108
121,121,121,121,0,6,108
122,122,122,122,23,5,108
123,123,123,123,1,4,108
124,124,124,124,19,6,108
125,125,125,125,8,4,108
126,126,126,126,6,9,108
127,127,127,127,0,5,108
128,128,128,128,10,4,108
129,129,129,129,5,5,108
130,130,130,130,1,6,109
131,131,131,131,20,24,109
132,132,132,132,4,10,109
133,133,133,133,12,9,109
134,134,134,134,29,6,109
135,135,135,135,4,7,109
136,136,136,136,14,6,109
137,137,137,137,6,15,110
138,138,138,138,19,22,111
139,139,139,139,1,6,112
140,140,140,140,3,8,113
